"homicide_group","homicide_group_label","male_offender_records","female_offender_records","unknown_or_not_specified_offender_records","known_sex_offender_records","total_offender_records","female_proportion_known_sex","female_to_male_odds","female_proportion_ci_lower","female_proportion_ci_upper","adjusted_odds_ratio_vs_other_homicide","cluster_robust_ci_lower","cluster_robust_ci_upper","p_value","holm_adjusted_p_value"
"other_homicide","All other homicide (reference)",130486,16606,49116,147092,196208,0.112895330813368,0.127262694848489,0.111288172901633,0.114522707469988,1,1,1,,
"filicide_birth_through_6_days","Filicide, birth-6 days",31,61,0,92,92,0.66304347826087,1.96774193548387,0.561652984068481,0.751363954207947,15.8030058223445,10.9295996556901,22.8494181752613,9.7615457608636e-49,1.95230915217272e-48
"filicide_days_7_through_364","Infant filicide, 7-364 days",684,453,1,1137,1138,0.398416886543536,0.662280701754386,0.370348129247029,0.427169748268758,5.23336168666353,4.73769351659343,5.78088777746238,4.05535138124546e-233,2.02767569062273e-232
"filicide_years_1_through_4","Filicide, 1-4 years",592,733,5,1325,1330,0.553207547169811,1.23817567567568,0.526322705165453,0.579784760901367,9.75603588920074,8.87920736367159,10.7194519029698,0,0
"filicide_years_5_through_9","Filicide, 5-9 years",212,265,1,477,478,0.555555555555556,1.25,0.510695529507061,0.599527911146304,9.82974691494392,8.37140940178461,11.5421334418612,3.26419265261399e-171,1.30567706104559e-170
"filicide_years_10_through_14","Filicide, 10-14 years",151,135,0,286,286,0.472027972027972,0.894039735099338,0.414925395226872,0.529872012069169,7.02800328167899,5.71361653094014,8.64475763464709,4.49614483205268e-76,1.3488434496158e-75
"filicide_years_15_through_17","Filicide, 15-17 years",70,45,2,115,117,0.391304347826087,0.642857142857143,0.307002704355581,0.4826329981334,5.06957725265509,3.56778607646282,7.20351864428994,1.35170220364798e-19,1.35170220364798e-19
